Date,Ticker,Bid,Ask,PX_LAST,Volume
2023-01-02,ETLX GY Equity,26.39,26.52,26.44,88.0
2023-01-03,DMAD LN Equity,12.986,13.126,13.056,
2023-01-03,DXJA LN Equity,23.375,23.505,23.44,320.0
2023-01-03,ETLX GY Equity,27.21,27.33,27.29,4700.0
2023-01-03,PAVE LN Equity,24.235,24.36,24.2975,1762.0
2023-01-03,URA US Equity,20.01,20.02,20.02,1580148.0
2023-01-04,DMAD LN Equity,12.966,13.1,13.033,10.0
2023-01-04,DXJA LN Equity,23.44,23.51,23.475,548.0
2023-01-04,ETLX GY Equity,28.6,28.79,28.69,4385.0
2023-01-04,PAVE LN Equity,24.425,24.51,24.4675,2328.0
2023-01-04,URA US Equity,20.06,20.08,20.08,1576714.0
2023-01-05,DMAD LN Equity,13.2,13.34,13.27,
2023-01-05,DXJA LN Equity,23.21,23.28,23.245,3107.0
2023-01-05,ETLX GY Equity,28.29,28.4,28.41,9004.0
2023-01-05,PAVE LN Equity,24.215,24.345,24.28,1340.0
2023-01-05,URA US Equity,20.07,20.09,20.11,1053119.0
2023-01-06,DMAD LN Equity,13.552,13.728,13.64,
2023-01-06,DXJA LN Equity,23.46,23.53,23.495,111.0
2023-01-06,ETLX GY Equity,29.205,29.28,29.315,236.0
2023-01-06,PAVE LN Equity,24.885,25.025,24.955,530.0
2023-01-06,URA US Equity,21.17,21.18,21.17,2652266.0
2023-01-09,DMAD LN Equity,13.836,13.992,13.914,
2023-01-09,DXJA LN Equity,23.765,23.835,23.8,30.0
2023-01-09,ETLX GY Equity,29.12,29.185,29.13,521.0
2023-01-09,PAVE LN Equity,25.325,25.46,25.3925,147.0
2023-01-09,URA US Equity,21.54,21.55,21.54,2398511.0
2023-01-10,DMAD LN Equity,13.73,13.888,13.809,10.0
2023-01-10,DXJA LN Equity,23.535,23.605,23.57,
2023-01-10,ETLX GY Equity,28.82,28.89,28.86,1412.0
2023-01-10,PAVE LN Equity,24.985,25.09,25.0375,532.0
2023-01-10,URA US Equity,21.84,21.85,21.85,1095649.0
2023-01-11,DMAD LN Equity,13.988,14.124,14.056,
2023-01-11,DXJA LN Equity,23.78,23.85,23.815,
2023-01-11,ETLX GY Equity,28.85,28.93,28.835,15012.0
2023-01-11,PAVE LN Equity,25.455,25.565,25.51,
2023-01-11,URA US Equity,21.86,21.87,21.87,1247868.0
2023-01-12,DMAD LN Equity,14.184,14.348,14.266,
2023-01-12,DXJA LN Equity,23.785,23.915,23.85,186.0
2023-01-12,ETLX GY Equity,29.195,29.29,29.225,27574.0
2023-01-12,PAVE LN Equity,25.685,25.845,25.765,1328.0
2023-01-12,URA US Equity,22.02,22.03,22.02,1198648.0
2023-01-13,DMAD LN Equity,14.138,14.284,14.211,
2023-01-13,DXJA LN Equity,23.605,23.83,23.7175,222.0
2023-01-13,ETLX GY Equity,29.64,29.995,29.74,6582.0
2023-01-13,PAVE LN Equity,25.795,25.935,25.865,
2023-01-13,URA US Equity,22.09,22.13,22.14,1042819.0
2023-01-16,DMAD LN Equity,14.12,14.294,14.207,
2023-01-16,DXJA LN Equity,23.74,23.81,23.775,30.0
2023-01-16,ETLX GY Equity,29.69,29.78,29.745,16032.0
2023-01-16,PAVE LN Equity,25.955,26.145,26.05,
2023-01-17,DMAD LN Equity,13.922,14.056,13.989,
2023-01-17,DXJA LN Equity,23.98,24.05,24.015,
2023-01-17,ETLX GY Equity,29.05,29.13,29.065,7556.0
2023-01-17,PAVE LN Equity,25.91,26.05,25.98,290.0
2023-01-17,URA US Equity,21.83,21.84,21.83,1457198.0
2023-01-18,DMAD LN Equity,14.046,14.178,14.112,
2023-01-18,DXJA LN Equity,24.135,24.205,24.17,245.0
2023-01-18,ETLX GY Equity,28.925,28.97,28.925,13722.0
2023-01-18,PAVE LN Equity,25.61,25.78,25.61,14366.0
2023-01-18,URA US Equity,21.32,21.34,21.34,2184500.0
2023-01-19,DMAD LN Equity,13.766,13.908,13.837,576.0
2023-01-19,DXJA LN Equity,23.915,23.99,23.9525,141.0
2023-01-19,ETLX GY Equity,29.03,29.13,29.095,9696.0
2023-01-19,PAVE LN Equity,24.835,24.93,24.8825,109.0
2023-01-19,URA US Equity,21.66,21.67,21.68,1554322.0
2023-01-20,DMAD LN Equity,14.038,14.186,14.112,
2023-01-20,DXJA LN Equity,24.425,24.575,24.5,
2023-01-20,ETLX GY Equity,29.155,29.23,29.19,309.0
2023-01-20,PAVE LN Equity,25.07,25.15,25.11,400.0
2023-01-20,URA US Equity,22.3,22.31,22.3,2980798.0
2023-01-23,DMAD LN Equity,14.248,14.398,14.323,
2023-01-23,DXJA LN Equity,24.615,24.69,24.6525,1561.0
2023-01-23,ETLX GY Equity,29.08,29.17,29.15,943.0
2023-01-23,PAVE LN Equity,25.485,25.635,25.56,
2023-01-23,URA US Equity,22.54,22.57,22.56,2300137.0
2023-01-24,DMAD LN Equity,14.34,14.51,14.425,
2023-01-24,DXJA LN Equity,24.675,24.75,24.7125,1627.0
2023-01-24,ETLX GY Equity,29.55,29.66,29.5,5358.0
2023-01-24,PAVE LN Equity,25.565,25.665,25.615,
2023-01-24,URA US Equity,22.65,22.69,22.65,1511279.0
2023-01-25,DMAD LN Equity,14.364,14.524,14.444,
2023-01-25,DXJA LN Equity,24.785,24.865,24.865,3601.0
2023-01-25,ETLX GY Equity,29.635,29.71,29.695,852.0
2023-01-25,PAVE LN Equity,25.325,25.405,25.365,3282.0
2023-01-25,URA US Equity,22.79,22.81,22.79,1973526.0
2023-01-26,DMAD LN Equity,14.432,14.578,14.505,
2023-01-26,DXJA LN Equity,24.87,24.945,24.9075,353.0
2023-01-26,ETLX GY Equity,29.58,29.69,29.565,4257.0
2023-01-26,PAVE LN Equity,25.65,25.75,25.7,394.0
2023-01-26,URA US Equity,22.73,22.74,22.73,1989713.0
2023-01-27,DMAD LN Equity,14.43,14.566,14.498,576.0
2023-01-27,DXJA LN Equity,24.855,25.09,24.9725,2362.0
2023-01-27,ETLX GY Equity,29.235,29.365,29.335,10.0
2023-01-27,PAVE LN Equity,26.075,26.155,26.115,6719.0
2023-01-27,URA US Equity,23.11,23.13,23.14,1961128.0
2023-01-30,DMAD LN Equity,14.386,14.536,14.461,
2023-01-30,DXJA LN Equity,24.99,25.06,25.025,54.0
2023-01-30,ETLX GY Equity,29.24,29.31,29.33,11085.0
2023-01-30,PAVE LN Equity,26.13,26.215,26.1725,43.0
2023-01-30,URA US Equity,23.21,23.22,23.21,2661520.0
2023-01-31,DMAD LN Equity,14.33,14.478,14.404,
2023-01-31,DXJA LN Equity,24.75,24.88,24.815,55.0
2023-01-31,ETLX GY Equity,28.915,28.99,29.01,15855.0
2023-01-31,PAVE LN Equity,26.085,26.2,26.1425,191.0
2023-01-31,URA US Equity,23.05,23.1,23.03,1703303.0
2023-02-01,DMAD LN Equity,14.478,14.624,14.551,
2023-02-01,DXJA LN Equity,24.685,24.88,24.7825,2823.0
2023-02-01,ETLX GY Equity,28.79,28.88,28.875,639.0
2023-02-01,PAVE LN Equity,26.5,26.58,26.54,2181.0
2023-02-01,URA US Equity,23.48,23.55,23.52,1961829.0
2023-02-02,DMAD LN Equity,14.524,14.664,14.594,
2023-02-02,DXJA LN Equity,24.61,24.685,24.6475,2503.0
2023-02-02,ETLX GY Equity,28.71,28.75,28.525,183.0
2023-02-02,PAVE LN Equity,27.145,27.24,27.1925,655.0
2023-02-02,URA US Equity,23.15,23.18,23.15,4831777.0
2023-02-03,DMAD LN Equity,14.532,14.678,14.605,276.0
2023-02-03,DXJA LN Equity,24.755,24.99,24.8725,7398.0
2023-02-03,ETLX GY Equity,27.67,27.8,27.395,7467.0
2023-02-03,PAVE LN Equity,27.245,27.445,27.345,1539.0
2023-02-03,URA US Equity,22.2,22.21,22.16,4794856.0
2023-02-06,DMAD LN Equity,14.212,14.34,14.276,
2023-02-06,DXJA LN Equity,24.935,25.01,24.9725,667.0
2023-02-06,ETLX GY Equity,27.705,27.81,27.8,9266.0
2023-02-06,PAVE LN Equity,26.915,27.05,26.9825,329.0
2023-02-06,URA US Equity,21.74,21.75,21.73,2210478.0
2023-02-07,DMAD LN Equity,14.244,14.392,14.318,
2023-02-07,DXJA LN Equity,24.785,24.925,24.855,3843.0
2023-02-07,ETLX GY Equity,28.19,28.285,28.2,1588.0
2023-02-07,PAVE LN Equity,26.595,26.79,26.6925,785.0
2023-02-07,URA US Equity,22.22,22.23,22.22,2013787.0
2023-02-08,DMAD LN Equity,14.11,14.26,14.185,
2023-02-08,DXJA LN Equity,24.855,24.93,24.8925,238.0
2023-02-08,ETLX GY Equity,27.99,28.075,28.0,327.0
2023-02-08,PAVE LN Equity,26.675,26.765,26.72,8137.0
2023-02-08,URA US Equity,21.95,21.99,21.92,2570973.0
2023-02-09,DMAD LN Equity,14.046,14.194,14.12,
2023-02-09,DXJA LN Equity,25.03,25.11,25.07,508.0
2023-02-09,ETLX GY Equity,27.69,27.785,27.695,1570.0
2023-02-09,PAVE LN Equity,26.73,26.805,26.7675,1025.0
2023-02-09,URA US Equity,22.35,22.39,22.39,2333596.0
2023-02-10,DMAD LN Equity,13.758,13.904,13.831,
2023-02-10,DXJA LN Equity,25.1,25.19,25.145,10.0
2023-02-10,ETLX GY Equity,27.34,27.42,27.425,1020.0
2023-02-10,PAVE LN Equity,26.435,26.625,26.53,1267.0
2023-02-10,URA US Equity,22.61,22.66,22.64,2087902.0
2023-02-13,DMAD LN Equity,13.838,13.982,13.91,
2023-02-13,DXJA LN Equity,25.35,25.42,25.385,259.0
2023-02-13,ETLX GY Equity,27.275,27.34,27.325,24186.0
2023-02-13,PAVE LN Equity,26.75,26.84,26.795,903.0
2023-02-13,URA US Equity,22.42,22.45,22.42,1317720.0
2023-02-14,DMAD LN Equity,13.76,13.906,13.833,
2023-02-14,DXJA LN Equity,25.27,25.35,25.31,
2023-02-14,ETLX GY Equity,26.79,26.87,26.9,459.0
2023-02-14,PAVE LN Equity,26.605,26.7,26.6525,254.0
2023-02-14,URA US Equity,22.62,22.7,22.7,1251991.0
2023-02-15,DMAD LN Equity,13.784,13.928,13.856,
2023-02-15,DXJA LN Equity,25.38,25.46,25.42,
2023-02-15,ETLX GY Equity,26.18,26.235,26.235,353.0
2023-02-15,PAVE LN Equity,27.03,27.115,27.0725,
2023-02-15,URA US Equity,22.63,22.65,22.63,1017928.0
2023-02-16,DMAD LN Equity,13.804,13.954,13.879,
2023-02-16,DXJA LN Equity,25.4,25.46,25.43,5000.0
2023-02-16,ETLX GY Equity,26.07,26.095,26.085,10531.0
2023-02-16,PAVE LN Equity,27.035,27.18,27.1075,2352.0
2023-02-16,URA US Equity,22.25,22.28,22.25,1836348.0
2023-02-17,DMAD LN Equity,13.52,13.664,13.592,
2023-02-17,DXJA LN Equity,25.46,25.53,25.495,
2023-02-17,ETLX GY Equity,25.65,25.68,25.695,988.0
2023-02-17,PAVE LN Equity,26.82,26.945,26.8825,
2023-02-17,URA US Equity,22.1,22.14,22.1,2496497.0
2023-02-20,DMAD LN Equity,13.566,13.724,13.645,
2023-02-20,DXJA LN Equity,25.52,25.6,25.56,827.0
2023-02-20,ETLX GY Equity,25.94,25.995,25.955,6821.0
2023-02-20,PAVE LN Equity,26.845,27.035,26.94,286.0
2023-02-21,DMAD LN Equity,13.474,13.614,13.544,
2023-02-21,DXJA LN Equity,25.52,25.58,25.55,104.0
2023-02-21,ETLX GY Equity,25.69,25.755,25.7,11750.0
2023-02-21,PAVE LN Equity,26.4,26.535,26.4675,920.0
2023-02-21,URA US Equity,21.23,21.24,21.23,2774172.0
2023-02-22,DMAD LN Equity,13.258,13.396,13.327,
2023-02-22,DXJA LN Equity,25.35,25.42,25.385,
2023-02-22,ETLX GY Equity,25.13,25.205,25.105,4702.0
2023-02-22,PAVE LN Equity,26.33,26.46,26.395,317.0
2023-02-22,URA US Equity,21.03,21.08,21.03,1628929.0
2023-02-23,DMAD LN Equity,13.194,13.33,13.262,
2023-02-23,DXJA LN Equity,25.37,25.45,25.41,478.0
2023-02-23,ETLX GY Equity,24.82,24.895,24.835,207.0
2023-02-23,PAVE LN Equity,26.25,26.39,26.32,1791.0
2023-02-23,URA US Equity,21.21,21.22,21.22,830801.0
2023-02-24,DMAD LN Equity,13.018,13.156,13.087,
2023-02-24,DXJA LN Equity,25.4,25.48,25.44,46.0
2023-02-24,ETLX GY Equity,24.57,24.67,24.58,849.0
2023-02-24,PAVE LN Equity,26.25,26.36,26.305,250.0
2023-02-24,URA US Equity,20.95,20.97,20.96,2333600.0
2023-02-27,DMAD LN Equity,13.064,13.2,13.132,
2023-02-27,DXJA LN Equity,25.58,25.81,25.695,1540.0
2023-02-27,ETLX GY Equity,24.52,24.615,24.56,606.0
2023-02-27,PAVE LN Equity,26.695,26.825,26.76,
2023-02-27,URA US Equity,21.08,21.09,21.09,1146526.0
2023-02-28,DMAD LN Equity,13.108,13.246,13.177,
2023-02-28,DXJA LN Equity,25.47,25.68,25.575,
2023-02-28,ETLX GY Equity,24.735,24.825,24.775,207.0
2023-02-28,PAVE LN Equity,26.925,27.0,26.9625,907.0
2023-02-28,URA US Equity,20.91,20.92,20.93,992243.0
2023-03-01,DMAD LN Equity,13.556,13.714,13.635,
2023-03-01,DXJA LN Equity,25.59,25.66,25.625,296.0
2023-03-01,ETLX GY Equity,25.23,25.34,25.245,1166.0
2023-03-01,PAVE LN Equity,26.865,26.99,26.9275,915.0
2023-03-01,URA US Equity,21.37,21.38,21.41,1057852.0
2023-03-02,DMAD LN Equity,13.422,13.562,13.492,
